District,SS,Toponym,Chrononym,Def,Context,Year,Comment,Latitude,Longitude,DISS
Вохом,Вохомский,Вохма,АЛЕКСЕЕВСКАЯ,30 марта,На АлексЕевскую базАр в ВОхме бывАл.,2011 авг.,,,,
Вохом,Вохомский,Вохма,АЛЕКСЕЕВСКАЯ ЯРМАРКА,"праздник, отмечаемый в Вохме 30 марта",АлексЕевская Ярмарка тОже былА в ВОхме тридцАтого мАрта былА. А тридцАтого АлексЕя нарождЕние отмечАют.,2011 февраль,,,,
Пав,Доброумовский,Доброумово,АЛЕКСЕЕВСКИЙ ДЕНЬ,30 марта по н. ст.,На АлексЕевский День тОже дождь Если ‒ корОвы бУдут доИться.,2009 авг.,,,,
Парф,Матвеевский,Ильинское,АЛЕКСЕЙ БОЖИЙ ЧЕЛОВЕК,"праздник, отмечаемый в д. Ильинское 30 (31 ?) марта","СОрок сорОк бывАет где-то на АлексЕя БОжья ЧеловЕка, сОрок морОзов ждут.",2006 авг.,,,,
Буй,Шушкодомский,Шушкодом,АЛЕКСЕЙ БОЖИЙ ЧЕЛОВЕК,30 апреля,30 апреля АлексЕя БОжия человЕка когда ‒ жаворОнков пекли.,2018 лето,,,,
Буй,Дьяконовский,Вятка,АЛЕКСЕЙ ЧЕЛОВЕК БОЖИЙ,"праздник, отмечаемый 30 марта","ЖАворонки в Пост пекли, праздник назывался АлексЕй человЕк бОжий.",2018 лето,,,,
Нерех,Федоровский,Федоровское,АЛЕНИН ДЕНЬ,"праздник, отмечаемый 4 мая",На Алёнин день огурцы сажали.,2019 лето,,,,
Шар,Одоевский,Завражье,АЛЕНУШКА,"престольный праздник в б. дд. Завражье, Яковищево, Якутино, Вахнево, отмечавшийся 3 июня","Раньше садИли на АлЁнушку картОшку, а тепЕрь в мАе сАдят.",2012 лето,"АЛёНУШКИ, АЛёНЫ-ГОЛОДёНЫ",,,
Шар,Конёвский,Боярка,АЛЕНУШКИ,"день святой Елены, отмечавшийся в д. Боярка 2 августа",АлЁнушки прАздновали два-три дня в БоЯрке. ВторОго Августа онИ бЫли.,2012 лето,,,,
Шар,Конёвский,Подолиха,АЛЕНУШКИ,3 июня,"АлЁнушки третьего иЮня, сАдят после них.",2012 лето,,,,
Шар,Конёвский,Бердиха,АЛЕНУШКИ,3 июня,В АлЁнушки-те лён сИют.,2012 лето,,,,
Шар,Одоевский,Яковищево,АЛЕНУШКИ,"престольный праздник в б. д. Завражье, Яковищево, Якутино, Вахнево, отмечавшийся 3 июня","Вот это были АлЁнушки ‒ престОльный прАздник. Ох, скоро пойдЁм на АлЁны-ГолодЁны. Самый голОдный прАздник.",2012 лето,"АЛёНЫ-ГОЛОДёНЫ, АЛёНУШКА",,,
Шар,Конёвский,Подолиха,АЛЕНУШКИ,"день св. Елены, 3 июня",ТеплО после АлЁнушек бывАет.,2012 лето,,,,
Шар,Одоевский,Якутино,АЛЕНУШКИ,"день Святой Елены, престольный праздник, отмечаемый 2-3 июня в б. дд. Вахнево, Завражье, Яковищево","В трёх деревнЯх прАздновали АлЁнушки трЕтьего иЮня: в ВАхнево, ЗаврАжье и ЯковИщево.",2012 лето,,,,
Шар,Одоевский,Якутино,АЛЕНУШКИ,"престольный праздник, день святой Елены, отмечавшийся в б. дд. Вахнево, Завражье, Яковищево","АлЁнушки тОже бЫли, их в ВАхнево, ЗаврАжье и ЯковИщево прАздновали трЕтьего иЮня.",2012 лето,,,,
Шар,Одоевский,Одоевское,АЛЕНУШКИ,"престольный праздник, отмечаемый в б. дд. Яковищево, Завражье, Вахнево 2-3 июня; день Святой Елены","Вроде вторОго иЮня или трЕтьего мы гулЯли, сначАла в ЯковИщево, потОм в ЗаврАжье ходИли и в ВАхнево шли.",2012 лето,АЛёНЫ-ГОЛОДёНЫ,,,
Шар,Конёвский,Подолиха,АЛЕНУШКИ,"день св. Елены, 3 июня",ТеплО после АлЁнушек бывАет.,2012 лето,,,,
Шар,Одоевский,Одоевское,АЛЕНЫ,"престольный праздник в б. д. Яковищево, 3 июня","АлЁны в ОдОевском, в ЯковИщеве, трЕтьего иЮня.",2012 лето,,,,
Шар,Одоевский,Вахнево,АЛЕНЫ-ГОЛОДЕНЫ,"престольный праздник в б. дд. Завражье, Яковищево, Якутино, Вахнево, отмечавшийся 3 июня","Вот это были АлЁнушки ‒ престОльный прАздник. Ох, скоро пойдЁм на АлЁны-ГолодЁны. Самый голОдный прАздник. Ничего не вЫросло, запАсы через зИму кОнчились.",2012 лето,"АЛёНУШКА, АЛёНУШКИ",,,
Шар,Одоевский,Одоевское,АЛЕНЫ-ГОЛОДЕНЫ,"день Святой Елены, отмечаемый 2-3 июня","На АлЁны-ГолодЁны ходИли пАрами по селУ, пели; это и есть АлЁнушки-то.",2012 лето,АЛёНУШКИ,,,
Вохом,Семёновский,Спас,АНДРОПЫ-РАСТОРОПЫ,"праздник, отмечаемый 16 марта",АндрОпы-РасторОпы: если тает ‒ ранняя весна будет.,2011 авг.,,,,
Мак,Красногорский,Домань,АНИСЬЯ-ПОЛУЗИМНИЦА,6 февраля,"29-го января – Петр-Полукорм, 6 февраля – Анисья-Полузимница, Анисья-Полухлебница. Половина запасов съедена.",2022 лето,,,,
Мак,Красногорский,Домань,АНИСЬЯ-ПОЛУХЛЕБНИЦА,6 февраля,"29-го января – Петр-Полукорм, 6 февраля – Анисья-Полузимница, Анисья-Полухлебница. Половина запасов съедена.",2022 лето,,,,
Мак,Красногорский,Домань,АННА-ХОЛОДНИЦА,"7 августа, день успения праведной Анны",,2023 лето,,,,
Мак,Юровский,Большие Рымы,АННЫ НИКОЛЬСКИЕ,22 декабря,"Анны Никольские были: молились бабы о ребёночке, кто родить хотел.",2023 лето,,,,
Буй,Шушкодомский,Шушкодом,АННЫ-ПРОРОЧИЦЫ,22 декабря,Анны ‒ они в декабре. Анны ПрорОчицы будут 22 декабря.,2018 лето,аННЫ,,,
Мак,Шемятинский,Шемятино,АНОФРЕВ ДЕНЬ,"праздник в д. Шемятино и Филисово, отмечаемый 25 июня",,2021 ноябрь,,,,
Парф,Крусановский,Ямище,АНОФРИЕВ ДЕНЬ,престольный праздник б. д. Ямище (25 июня),"В БрАгине ТИфинская былА, у нас ‒ РизоположЕние, а в Ямище ‒ АнОфриев День.",2006 авг.,,,,
Пав,Петропавловский,Доровица,АНТРОПА-РАСТОРОПА,17 марта,На АнтрОпа-РасторОпа снег ‒ бУдут грибЫ.,2009 авг.,,,,
Пав,Петропавловский,Первая Грязучая,АНТРОПЫ-РАСТОРОПЫ,день в марте (какой?),АнтрОпы-РасторОпы... коудЫ уже снег тАет.,2009 авг.,,,,
Мак,Шемятинский,Гребенец,АНУФРИЕВ ДЕНЬ,"25 июня, престольный праздник в д. Гребенец",В Гребенце был такой праздник ‒ АнУфриев день,2022 лето,,,,
Мак,Шемятинский,Шемятино,АНУФРИЕВ ДЕНЬ,"праздник 25 июня, приурочен к началу сенокоса","Сенокос начинали в конце июня с АнУфриева дня. 25 июня обычно начинали сенокос. Дак тут не праздновали, в Шемятине праздновали.",2021 ноябрь,,,,
Нерех,Лавровский,Иголкино,АНФИНОГЕНОВ ДЕНЬ,"один из годичных праздников, который отмечают 29 июля в д. Иголкино",Каждый год 29 июля на АнфиногЕнов дЕнь в нашей деревне устраивают гуляния.,2019 лето,,,,
Мак,Красногорский,Домань,АФАНАСИЙ-ЛОМОНОС,31 января,"Афанасий-ломонос, Афанасьевские морозы. Серьезные морозы.",2022 лето,,,,
Мак,Юровский,Большие Рымы,АФАНАСИЙ-ЛОМОНОС,день в конце января,"Морозы были: никольские морозы -- в Николу, сретенские морозы -- на Сретенье, а был Афанасий-Ломонос.",2023 лето,,,,
С-Слав,Воронский,Завражье,АФАНАСЬЕВ ДЕНЬ,праздник в д. Завражье,"здесь праздник ‒ АфанАсьев день ‒ 31 января, это в нашей деревне",2019 лето,,,,
С-Слав,Воронский,Митюшино,АФАНАСЬЕВ ДЕНЬ,престольный праздник в д. Митюшино (31 января),,2019 лето,,,,
С-Слав,Воронский,Митюшино,АФАНАСЬЕВ ДЕНЬ,"праздник, справляемый в д. Митюшино 31 января",,2019 лето,,,,
Буй,Шушкодомский,Шушкодом,АФАНАСЬЕВ ДЕНЬ,"праздник, отмечаемый в д. Гусево 18 июля",,2018 лето,,,,
Буй,Шушкодомский,Шушкодом,АФАНАСЬЕВ ДЕНЬ,день почитания святого Афанасия,"НикОла была праздник, КазАнская, ПарасковИя, ПокрОв, АфанАсьев дЕнь, УленИя. УленИя – это в Тертино праздник 4 июля али июня.",2018 лето,,,,
С-Слав,Воронский,Митюшино,АФАНАСЬЕВ ДЕНЬ,престольный праздник д. Митюшино (31 января),Вот в Митюшине Афанасьев день ‒ их праздник.,2019 лето,,,,
Нерех,Лавровский,Иголкино,АФИНОГЕНОВ ДЕНЬ,28 июля,"Афиногенов день был в Иголкине, святой Афиноген был.",2019 лето,,,,
Буй,Шушкодомский,Шушкодом,АФОНАСЬЕВ ДЕНЬ,"праздник в д. Гусево, 22 июня",,2018 лето,,,,
Буй,Шушкодомский,Заломаево,АФОНАСЬЕВ ДЕНЬ,"престольный праздник д. Заломаево, 29 июня","В каждой деревне был свой праздник. У нас, в Овсянниково, был ТИхонов дЕнь, 29 июня. Отмечали два дня. А 18 июля в Заломаеве АфонАсьев день.",2018 лето,,,,
Мак,Юровский,Большие Рымы,БАБИЙ ДЕНЬ,21 сентября,"Бабий день большой праздник, Богородицын день ешшо звали. Богородице молились бабы в моленных домах. В Рожество молились, в Паску, в Бабий день.",2023 лето,,,,
Окт,Покровский,Катушенки,БАБИЙ ДЕНЬ,день в середине сентября (14 сентября?),"СмотрЕли, чтобы не слезомОйка пЕрвая вЫшла на Улицу. Если в БАбий день слезомОйка вЫйдет ‒ дождь бУдет, пока картОшку копАем.",2011 февраль,,,,
Мак,Усть-Нейский,Манылово,БАБИЙ ПРАЗДНИК,27 сентября,"Звиженье звали Бабий праздник. Всё сжали, всё убрали, остался только лён.",2022 лето,,,,
К-С,Сидоровский,Светочева Гора,БАБИЙ ПРАЗДНИК,четверг перед Троицей,"Перед Троицей был Семик, звали ешшо Бабий праздник. Берёзку нарядят лоскутками. Поставят берёзку на бою, на бойкое место.",2019 лето,,,,
Окт,Стариковский,Ильинское,БАБЬЕ ЛЕТО,период с 14 сентября по 21 сентября,БАбье лЕто с четЫрнадцатого сентябрЯ по двАдцать пЕрвое ‒ онО числовОе. ЧетЫрнадцатого сентябрЯ СемЁнов День. В СемЁнов День ужЕ закАнчивается убОрка с пОля. А бАбье лЕто кончАется ужЕ двадцать пЕрвого.,2011 авг.,,,,
Шар,Марутинский,Ракитиха,БАБЬЕ ЛЕТО,период с 7 по 14 сентября,"МолодОе бАбье лЕто ‒ с 1 по 7 сентября, а настоЯшше бАбье лЕто ‒ с 7 по 14 сентября.",2014 авг.,,,,
Окт,Покровский,Катушенки,БАБЬЕ ЛЕТО,время с 14 сентября,"Если до БАбья ЛЕта дождь, то БАбье ЛЕто вЁдерное станОвится.",2011 февраль,,,,
Шар,Троицкий,Руданиха,БАТЮШКО-ПОКРОВ,"Покров Богородицы, 14 октября",,2012 лето,,,,
Мак,Усть-Нейский,Манылово,БАТЮШКО-ПОКРОВ,(фольк.) 14 октября," Батюшко-Покров, подай добрую свекровь!",2022 лето,,,,
Ост,Адищевский,Адищево,БЕРЕЗКА,"престольный праздник в с. Адищево; то же, что Троица","Троица была, БерЁзкой называли, потом ПетрОв дЕнь.",2023 лето,Информант не объясняет связь названия с празднованием.,,,
С-Слав,Судиславский,Болотово,БЕРЕЗКА,"праздник, отмечаемый в с. Жвалово, в д. Болотово на Троицу","На БерЁзку проводили мероприятие, ленточки завязывали ‒ больше в Болотово / в ЖвАлово веночки кидают: который дальше уплывет, выйдет замуж / это русская ТрОица, после Пасхи двунадесятый праздник. Выбирали красивую берёзку, помощи на урожай, на детей просили, навязывали ленточки, банты. Чтобы узнать судьбу бросали в речку: утонул ‒ не сложится, к берегу прибьет ‒ ничего не изменится, дальше уплывёт ‒ всё хорошо будет.",2019 лето,,,,
Окт,Покровский,Сосновка,БЛАВЕЩЕНЬЕ,"Благовещенье, 7 апреля","БлавЕшшенье ‒ великий праздник, не меньше ПАски. Никакую работу не начинают.",2011 авг.,,,,
Пав,Петропавловский,Доровица,БЛАВЕЩЕНЬЕ,праздник Благовещенье,"В БлавЕшшеньё пережигАли соль. Штёб скотА не (в)здУло, ёмУ давАли.",2009 авг.,,,,
Шар,Поляшовский,Бухалкино,БЛАВЕЩЕНЬЕ,7 апреля,"Если на БлавЕшшенье заморОзит, то бУдет 40 Утренников. Если не заморОзит, то веснА тЁплая.",2014 авг.,,,,
Окт,Стариковский,Огурцы,БЛАВЕЩЕНЬЕ,Благовещенье,На БлавЕщеньё теплО ‒ вывЁртывай завЁртки у санЕй. Если хОлодно ‒ в Устюг езжАй.,2011 авг.,,,,
Шар,Поляшовский,Бухалкино,БЛАГОВЕСТ,"Благовещенье, 7 апреля","БлАговест 7 апреля. Дома обходили с иконой. Молитву читали, чтоб пожара не было.",2015 лето,,,,
Вохом,Сосновский,Андрианово,БЛАГОВЕЩЕНИЕ,7 апреля,"БлаговЕщение ‒ 7 апреля, птичка гнёздышка не вьёт, девица косу не плетёт, в БлаговЕщение ничего не делали.",2012 лето,,,,
Буй,Куриловский,Лытавино,БЛАГОВЕЩЕНИЕ,"праздник, отмечаемый 7 апреля в деревнях Куриловского с/с","В БлаговЕщение смотрели: если морозно, то ещё сорок дней будет мороз, холодная весна.",2018 лето,,,,
Окт,Покровский,Клюкино,БЛАГОВЕЩЕНИЕ,7 апреля,На БлаговЕшшение никтО никогдА не рабОтал.,2011 февраль,,,,
Окт,Соловецкий,Макарьевская,БЛАГОВЕЩЕНИЕ,7 апреля,"На БлаговЕшшение нельзЯ в огорОде дЕлать. ЗЕмлю не копАй, лук не садИ. НичегО нельзЯ начинАть. СтрОго Это.",2011 февраль,,,,
Шар,Конёвский,Подолиха,БЛАГОВЕЩЕНСКАЯ,"Благовещение Богородицы, 7 апреля",После БлаговЕщенской сОрок морОзов бывАет. БлаговЕщенская ‒ она в чИслах.,2012 лето,,,,
Шар,Конёвский,Подолиха,БЛАГОВЕЩЕНСКАЯ,"Благовещение Богородицы, 7 апреля",После БлаговЕщенской сОрок морОзов бывАет. БлаговЕщенская ‒ она в чИслах.,2012 лето,,,,
Мак,Унженский,Унжа,БЛАГОВЕЩЕНЬЕ,"Благовещенье Богородицы, 7 апреля",,2021 ноябрь,,,,
Мак,Усть-Нейский,Власово,БЛАГОВЕЩЕНЬЕ,7 апреля,"В БлаговЕшшеньё говорили: ласточка гнезда не вьёт, красна девица косу не плетёт. Заплетались с вечера.",2022 лето,,,,
Окт,Забегаевский,Забегаево,БЛАГОВЕЩЕНЬЕ,"Благовещенье Богородицы, 7 апреля","Свет нельзя на БлаговЕщенье зажигать, чтобы грозы сильной не было.",2011 авг.,< б. д. Заросшие Дербы,,,
Вохом,Семёновский,Спас,БЛАГОВЕЩЕНЬЕ,праздник 7 апреля,"В БлаговЕшшэнье птица гнезда не вьёт, а девушка косу не пллетёт… Не расчАсывали даже.",2011 авг.,[благовЕшшэнье],,,
Ней,Тотомицкий,Тотомица,БЛАГОВЕЩЕНЬЕ,праздник 7 апреля,"Когда БлаговЕщенье, говорят: ""Птица гнезда не вьёт, девица косы не плетёт"".",2006 авг.,,,,
Меж,Георгиевский,Черемисская,БЛАГОВЕЩЕНЬЕ,весенний церковный праздник,"В БлаговЕщенье нельзя работу работать, например, стирать. Это и женщины, и мужчины отдыхают",2023 лето,,,,
Окт,Соловецкий,Соловецкое,БЛАГОВЕЩЕНЬЕ,7 апреля,"ДАльше седьмОго апрЕля БлаговЕщенье. БлаговЕщенье ‒ дЕвка кОсу не плетёт, птИца гнЁздышко не вьёт ‒ Это говорИли. НельзЯ бЫло в Этот день ничегО дЕлать ‒ такОй чИстый день.",2011 авг.,,,,
Окт,Соловецкий,Соловецкое,БЛАГОВЕЩЕНЬЕ,7 апреля,"Если на БлаговЕщенье застЫнет ‒ хоть в Устюг поезжАй, а не застЫнет ‒ сАни убирАй, телЕгу доставАй. СедьмОго апрЕля БлаговЕщенье, числовОе онО.",2011 авг.,,,,
Окт,Соловецкий,Соловецкое,БЛАГОВЕЩЕНЬЕ,7 апреля,"Если на БлаговЕщенье застЫнет ‒ хоть в Устюг поезжАй, а не застЫнет ‒ сАни убирАй, телЕгу доставАй. СедьмОго апрЕля БлаговЕщенье, числовОе онО.",2011 авг.,,,,
Вохом,Сосновский,Хмелевка,БЛАГОВЕЩЕНЬЕ,православный праздник,"Раньше в Михайлов день ярмарка была, в Алексеевскую, в Благовешшенье и в этот, Вознесеньев день ‒ вот в эти дни ярмарки были.",2012 лето,[благовЕшшенье],,,
Окт,Соловецкий,Соловецкое,БЛАГОВЕЩЕНЬЕ,7 апреля,"ДАльше седьмОго апрЕля БлаговЕщенье. БлаговЕщенье ‒ дЕвка кОсу не плетёт, птИца гнЁздышко не вьёт ‒ Это говорИли. НельзЯ бЫло в Этот день ничегО дЕлать ‒ такОй чИстый день.",2011 авг.,,,,
Вохом,Вохомский,Вохма,БЛАГОВЕЩЕНЬЕ,"православный праздник, отмечаемый 7 апреля","Седьмого апреля Благовещенье. Кукушка гнезда не вьёт, девица косы не плетёт",2011 февраль,,,,
Вохом,Маручатский,Богатыриха,БЛАГОВЕЩЕНЬЕ,праздник 7 апреля,"Кукушка гнездо не вьёт, девка косу не плетёт. Кукушка свила в БлаговЕшшенье, без гнезда осталась.",2011 авг.,[благовЕшшенье],,,
Мак,Усть-Нейский,Манылово,БЛАГОВЕЩЕНЬЕ,7 апреля,"В Благовешшенье красна девица косы не плетёт, кукушка гнезда не вьёт. Кукушка-то и в другие дни не вьёт.",2022 лето,,,,
Пав,Петропавловский,Шумково,БЛАГОВЕЩЕНЬЕ,"праздник, отмечаемый 7 апреля","А в БлаговЕщенье дЕвица кОсу не плетЁт и пОточка гнездА не вьёт, а совьЁт ‒ так не вЫведёт.",2009 авг.,,,,
Пав,Петропавловский,Вторая Грязучая,БЛАГОВЕЩЕНЬЕ,"праздник Благовещенье Богородицы, отмечаемый 7 апреля (н. ст.)",В БлаговЕщенье рАньше не начинАли рабОту.,2009 авг.,,,,
Окт,Власовский,Малая Стрелка,БЛАГОВЕЩЕНЬЕ,"Благовещенье Богородицы, 7 апреля","В БлаговЕщенье рабОтать нельзЯ бЫло. КрАсна дЕвица плетнЯ не плетЁт, птИца гнездА не вьёт.",2011 авг.,,,,
Окт,Луптюгский,Афонино,БЛАГОВЕЩЕНЬЕ,"Благовещенье Богородицы, 7 апреля","БлаговЕщенье ‒ большой праздник, больше Паски. // Ну вот в БлаговЕщенье ничего нельзя делать. // В какой день БлаговЕщенье было, никакую работу не начинай. А если перед БлаговЕщеньем начата работа, то можно работать (в тот день недели, на который выпадает Благовещенье).",2011 авг.,,,,
Окт,Покровский,Филино,БЛАГОВЕЩЕНЬЕ,"Благовещение Богородицы, 25 марта / 7апреля","В БлаговЕщенье дровА пилИть нельзЯ. Мы одИн раз дровА пилИли. ИдЁт однА жЕнщина: ""Ой, что вы дЕлаете?! СегОдня ведь БлаговЕщенье"". А потОм бык вскочИл на корОву, а ногА у неЁ подвихнУлась. БолЕла дОлго, пришлОсь сдать на мЯсо.",2011 февраль,,,,
Шар,Одоевский,Нежданово,БЛАГОВЕЩЕНЬЕ,7 апреля,"На БлаговЕщеньё смотрят на звёзды. Если звёзды часто ‒ курицы будут нестись хорошо, приплод будет.",2012 лето,"< Слепниха, Васил. с/с",,,
Шар,Зебляки,Зебляки,БЛАГОВЕЩЕНЬЕВ ДЕНЬ,"церковный праздник, отмечаемый 7 апреля","БлаговЕщеньев день ‒ 7 апреля. Говорят, что птица не поёт, девица косу не плетет.",2014 авг.,информант из с. Заболотье,,,
Вохом,Маручатский,Маручата,БОГОЛЮБИМАЯ,"праздник, который отмечался летом (когда?)",,2011 авг.,,,,
Вохом,Тихоновский,Тихон,БОГОЛЮБИМАЯ,1 июля,ОнА всегдА в БоголюбИмую стирАла. БоголюбИмая ‒ Это 1 иЮля.,2012 лето,< Тихон. с/с,,,
Вохом,Малораменский,Малое Раменье,БОГОЛЮБИМАЯ,праздник Троица,"БоголюбИмая ‒ это Троица, престольный праздник.",2012 лето,,,,
Вохом,Маручатский,Погорелка,БОГОЛЮБИМАЯ,церковный праздник 1 июня,"В деревне были игрища: БоголЮбская, БоголюбИмая, Покров день со всех деревень собирались.",2011 авг.,БОГОЛюБСКАЯ,,,
Вохом,Петрецовский,Плоская,БОГОЛЮБИМАЯ,"праздник, отмечавшийся в д. Зубакино 1 июля",,2012 лето,,,,
Вохом,Малораменский,Малое Раменье,БОГОЛЮБИМАЯ,"праздник, отмечавшийся 1 июля","БоголюбИмая, онА числовАя, 1 иЮля, тОжо игришшА бЫли: пЕли, плясАли, на качУлях качАлись.",2012 лето,,,,
Вохом,Маручатский,Погорелка,БОГОЛЮБИМАЯ,"религиозный праздник, отмечаемый 1 июля",,2011 авг.,,,,
Вохом,Сосновский,Андрианово,БОГОЛЮБИМАЯ,1 июля,Боголюбимая была 1 июля.,2012 лето,,,,
Вохом,Маручатский,Погорелка,БОГОЛЮБИМАЯ,"праздник, отмечаемый 1 июня",,2011 авг.,,,,
Вохом,Сосновский,Конница,БОГОЛЮБИМАЯ,"православный праздник, отмечаемый 1 июля","Гуляли, особенно летАми-то, БоголюбИмая первого июля",2012 лето,,,,
Вохом,Бельковский,Латышово,БОГОЛЮБИМАЯ,праздник 1 июля,"БОголюбИмая была, начинали сенокос. Боголюбимая, праздник божественный, начинался всегда сенокос.",2011 февраль,,,,
Пав,Крутогорский,Шайменский,БОГОЛЮБИМАЯ,"праздник в с. Шайма, отмечаемый 21 июля",,2009 авг.,,,,
Пав,Крутогорский,Шайменский,БОГОЛЮБИМАЯ,праздник 1 июля,БоголюбИмая ‒ крестьЯнский прАздник. На БЫзове прАздновали.,2009 авг.,,,,
Кадый,Котловский,Рубцово,БОГОЛЮБИМАЯ,престольный праздник с. Рубцово (1 июля),,2004 авг.,,,,
Вохом,Сосновский,Щипицыно,БОГОЛЮБИМАЯ,праздник 1 июля,"Ну обычно как говорили, вот надо с БоголюбИмой, обычно после её начинали косить.",2011 февраль,,,,
Вохом,Лапшинский,Лапшино,БОГОЛЮБИМАЯ,"праздник, отмечаемый летом после Петрова дня","СпервА ЗАговиньё, ПетрОв День, а потОм уж БоголюбИмая, БогорОдчина.",2011 февраль,,,,
Вохом,Согорский,Согра,БОГОЛЮБИМАЯ,церковный праздник,"БоголюбИмая ‒ тоже праздник, летом.",2012 лето,,,,
Вохом,Лапшинский,Ерусалим,БОГОЛЮБИМАЯ,"праздник, отмечаемый 1 июля","БоголюбИмая ‒ 1 иЮля прАздновали, все плясАли.",2011 февраль,,,,
Вохом,Петрецовский,Никола,БОГОЛЮБИМАЯ,1 июля,БоголюбИмая на ПетрецОве и в ЗубАкине.,2012 лето,,,,
Вохом,Маручатский,Погорелка,БОГОЛЮБИМАЯ,"престольный праздник в д. Погорелка (Маручатского с\с), отмечаемый 1 июля","БоголюбИмая ‒ 1 июля она, на ПогорЕлке гуляют",2011 авг.,,,,
Вохом,Маручатский,Погорелка,БОГОЛЮБИМАЯ,"престольный праздник, отмечаемый в д. Погорелка (Маручатское с/п) 1 июля","БоголюбИмая ‒ так вОде у МаручАт, на ПогорЕлке",2011 авг.,,,,
Вохом,Вохомский,Вохма,БОГОЛЮБИМАЯ,праздник 1 июля,"С первого июля уже пойдёт сенокос, БоголюбИмая была. Вот с этой БоголюбИмой начинали сенокос.",2011 февраль,,,,
Вохом,Сосновский,Свинки,БОГОЛЮБИМАЯ,"праздник, отмечаемый в д. Свинки (1 июля) и б. д. Бызово (2 июля)","На СвИнках первого июля, на БызОве второго июля ‒ БоголюбИмая",2012 лето,,,,
Вохом,Маручатский,Погорелка,БОГОЛЮБИМАЯ,"праздник, отмечаемый в д. Погорелка (Маручатское с/п)","С Тихонова-то дня из Питера в Погорелку ходили там, в СемЁновскоё, БоголюбИмая их праздник ‒ икона есь такая, БоголюбИмая.",2011 авг.,,,,
Вохом,Сосновский,Марково,БОГОЛЮБИМАЯ,православный праздник 1 июля,"На БоголюбИмую мёд обычно выдували, первого июля.",2012 лето,,,,
